Date,Building,CropType,GridID,X,Y,GridFert_Wheat,NumPlantsInGrid,FieldFert_Wheat,FieldSowPerc,FieldGrowthPerc,FieldYield
15Sep0039,SMBuildingMaster,Wheat,213493,501,208,0.9373,2,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,213494,502,208,0.9373,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,213495,503,208,0.9373,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,213496,504,208,0.9373,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,213497,505,208,0.9333,3,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,213498,506,208,0.9333,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,213499,507,208,0.9333,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,213500,508,208,0.9333,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,213501,509,208,0.9333,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,213502,510,208,0.9294,2,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,214517,501,209,0.9412,2,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,214518,502,209,0.9412,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,214519,503,209,0.9412,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,214520,504,209,0.9412,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,214521,505,209,0.9412,3,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,214522,506,209,0.9412,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,214523,507,209,0.9412,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,214524,508,209,0.9412,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,214525,509,209,0.9373,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,214526,510,209,0.9373,2,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,216565,501,211,0.9529,2,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,216566,502,211,0.9529,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,216567,503,211,0.9529,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,216568,504,211,0.9529,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,216569,505,211,0.9529,3,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,216570,506,211,0.9529,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,216571,507,211,0.9529,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,216572,508,211,0.9529,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,216573,509,211,0.9529,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,216574,510,211,0.9529,2,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,218613,501,213,0.9608,2,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,218614,502,213,0.9608,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,218615,503,213,0.9647,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,218616,504,213,0.9647,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,218617,505,213,0.9647,3,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,218618,506,213,0.9647,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,218619,507,213,0.9647,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,218620,508,213,0.9647,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,218621,509,213,0.9647,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,218622,510,213,0.9647,2,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,220661,501,215,0.9725,2,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,220662,502,215,0.9725,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,220663,503,215,0.9725,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,220664,504,215,0.9765,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,220665,505,215,0.9765,3,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,220666,506,215,0.9765,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,220667,507,215,0.9765,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,220668,508,215,0.9765,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,220669,509,215,0.9804,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,220670,510,215,0.9804,2,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,221685,501,216,0.9765,2,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,221686,502,216,0.9765,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,221687,503,216,0.9804,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,221688,504,216,0.9804,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,221689,505,216,0.9804,3,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,221690,506,216,0.9804,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,221691,507,216,0.9843,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,221692,508,216,0.9843,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,221693,509,216,0.9843,1,0.9582,0,0,
15Sep0039,SMBuildingMaster,Wheat,221694,510,216,0.9882,2,0.9582,0,0,
01Sep0040,SMBuildingMaster,Wheat,213493,501,208,0,2,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,213494,502,208,0.3673,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,213495,503,208,0.3673,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,213496,504,208,0.3673,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,213497,505,208,0,3,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,213498,506,208,0.3633,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,213499,507,208,0.3633,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,213500,508,208,0.3633,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,213501,509,208,0.3633,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,213502,510,208,0,2,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,214517,501,209,0,2,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,214518,502,209,0.3712,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,214519,503,209,0.3712,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,214520,504,209,0.3712,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,214521,505,209,0,3,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,214522,506,209,0.3712,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,214523,507,209,0.3712,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,214524,508,209,0.3712,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,214525,509,209,0.3673,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,214526,510,209,0,2,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,216565,501,211,0,2,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,216566,502,211,0.3829,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,216567,503,211,0.3829,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,216568,504,211,0.3829,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,216569,505,211,0,3,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,216570,506,211,0.3829,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,216571,507,211,0.3829,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,216572,508,211,0.3829,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,216573,509,211,0.3829,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,216574,510,211,0,2,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,218613,501,213,0,2,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,218614,502,213,0.3908,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,218615,503,213,0.3947,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,218616,504,213,0.3947,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,218617,505,213,0,3,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,218618,506,213,0.3947,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,218619,507,213,0.3947,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,218620,508,213,0.3947,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,218621,509,213,0.3947,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,218622,510,213,0,2,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,220661,501,215,0,2,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,220662,502,215,0.4026,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,220663,503,215,0.4026,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,220664,504,215,0.4065,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,220665,505,215,0,3,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,220666,506,215,0.4065,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,220667,507,215,0.4065,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,220668,508,215,0.4065,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,220669,509,215,0.4104,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,220670,510,215,0,2,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,221685,501,216,0,2,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,221686,502,216,0.4065,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,221687,503,216,0.4104,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,221688,504,216,0.4104,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,221689,505,216,0,3,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,221690,506,216,0.4104,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,221691,507,216,0.4143,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,221692,508,216,0.4143,1,0.1942,1,1,11
01Sep0040,SMBuildingMaster,Wheat,221693,509,216,0.4143,1,0.1942,1,1,11
