Date,Building,CropType,GridID,X,Y,GridFert_Barley,NumPlantsInGrid,FieldFert_Barley,FieldSowPerc,FieldGrowthPerc,FieldYield
07Sep0039,SMBuildingMaster,Barley,269866,554,263,0.8588,2,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,269868,556,263,0.8667,2,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,269870,558,263,0.8745,2,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,269872,560,263,0.8745,2,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,269873,561,263,0.8745,2,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,269875,563,263,0.8706,2,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,270890,554,264,0.8667,1,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,270892,556,264,0.8745,1,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,270894,558,264,0.8824,1,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,270896,560,264,0.8863,1,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,270897,561,264,0.8824,1,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,270899,563,264,0.8784,1,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,271914,554,265,0.8745,1,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,271916,556,265,0.8863,1,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,271918,558,265,0.8902,1,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,271920,560,265,0.8941,1,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,271921,561,265,0.8941,1,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,271923,563,265,0.8863,1,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,272938,554,266,0.8824,2,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,272940,556,266,0.8941,2,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,272942,558,266,0.902,2,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,272944,560,266,0.902,2,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,272945,561,266,0.902,2,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,272947,563,266,0.8941,2,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,273962,554,267,0.8941,2,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,273964,556,267,0.902,2,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,273966,558,267,0.9098,2,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,273968,560,267,0.9098,2,0.9064,0,0,
07Sep0039,SMBuildingMaster,Barley,273969,561,267,0.9098,2,0.9064,0,0,
