Date,Building,CropType,GridID,X,Y,GridFert_Wheat,numPlantsInGrid,FieldFert_Wheat,FieldSowPerc,FieldGrowthPerc,FieldYield
20Sep0042,SMBuildingMaster,Wheat,186980,612,182,1,2,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,186982,614,182,1,2,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,186983,615,182,1,2,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,186985,617,182,1,2,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,186987,619,182,1,2,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,186989,621,182,1,2,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,188004,612,183,1,1,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,188006,614,183,1,1,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,188007,615,183,1,1,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,188009,617,183,1,1,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,188011,619,183,1,1,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,188013,621,183,1,1,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,189028,612,184,1,1,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,189030,614,184,1,1,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,189031,615,184,1,1,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,189033,617,184,1,1,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,189035,619,184,1,1,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,189037,621,184,1,1,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,190052,612,185,1,1,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,190054,614,185,1,1,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,190055,615,185,1,1,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,190057,617,185,1,1,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,190059,619,185,1,1,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,190061,621,185,1,1,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,191076,612,186,1,3,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,191078,614,186,1,3,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,191079,615,186,1,3,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,191081,617,186,1,3,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,191083,619,186,1,3,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,191085,621,186,1,3,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,192100,612,187,1,1,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,192102,614,187,1,1,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,192103,615,187,1,1,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,192105,617,187,1,1,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,192107,619,187,1,1,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,192109,621,187,1,1,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,193124,612,188,1,1,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,193126,614,188,1,1,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,193127,615,188,1,1,1,0,0,
20Sep0042,SMBuildingMaster,Wheat,193129,617,188,1,1,1,0,0,
